mine_id,mine_name,state,district,date,year,month,planned_production_tonnes,actual_production_tonnes,production_variance_tonnes,production_achievement_pct,equipment_available_count,equipment_operating_count,equipment_downtime_hours,maintenance_hours,breakdown_count,planned_blasts,completed_blasts,blast_delay_hours,blast_delay_count,mine_depth_m,active_faces,working_hours,shift_hours,ore_grade_pct,ore_tonnage_available,rainfall_mm,temperature_c,soil_moisture,ventilation_delay_hours,ventilation_clearance_delay_hours,power_outage_hours,transport_delay_hours,manpower_available,production_lag_1d_tonnes,production_rolling_7d_mean_tonnes,production_target_tonnes,target_achieved,shortfall_tonnes,shortfall_pct,shortfall_flag,absenteeism_pct,overtime_hours,labor_strike_flag,steel_plant_demand_tonnes,manganese_price_index,order_backlog_tonnes,forest_clearance_status,pollution_shutdown_flag,mining_permission_active,is_monsoon_season_flag,road_condition_index,rake_availability_count,production_lag_1,production_rolling_7,equipment_utilization,downtime_ratio,blast_completion_rate,blast_delay_ratio,day_of_year
MOIL-01,Beldongri,Maharashtra,Nagpur,2015-01-01,2015,1,8649.2,8652.2,3.0,100.04,10,10,8.9,42.6,1,13,13,0.0,0,210,5,239.2,8.0,36.51,15368.8,11.9,21.4,0.189,2.1,0.9,4.2,0.5,426,8652.2,8652.2,8649.2,1,0.0,0.0,0,4.19,95.4,0,7527.6,101.6,0.0,Active,0,1,0,81.7,9,,,1.0,1.1125,1.0,0.0,1
MOIL-04,Munsar,Maharashtra,Bhandara,2015-01-01,2015,1,8649.2,8657.0,7.8,100.09,10,10,8.0,48.8,1,14,14,0.0,0,180,5,239.2,8.0,41.05,18592.3,12.3,21.5,0.173,2.1,0.9,2.8,0.5,416,8657.0,8657.0,8649.2,1,0.0,0.0,0,5.05,113.6,0,7872.4,102.27,0.0,Active,0,1,0,82.3,11,,,1.0,1.0,1.0,0.0,1
MOIL-05,Chikla,Maharashtra,Bhandara,2015-01-01,2015,1,7688.1,7630.7,-57.4,99.25,9,9,0.9,41.0,0,13,13,0.0,0,160,5,239.2,8.0,37.64,14025.2,12.8,21.4,0.18,2.1,0.9,5.2,0.5,389,7630.7,7630.7,7688.1,0,57.4,0.75,0,4.52,98.7,0,7017.9,101.85,0.0,Active,0,1,0,83.3,10,,,1.0,0.1125,1.0,0.0,1
MOIL-02,Gumgaon,Maharashtra,Nagpur,2015-01-01,2015,1,7688.1,7348.6,-339.5,95.58,9,9,9.9,45.1,1,13,13,0.0,0,195,5,239.2,8.0,36.12,13910.5,13.2,22.0,0.189,2.2,1.2,2.7,0.6,401,7348.6,7348.6,7688.1,0,339.5,4.42,0,3.21,100.5,0,6326.9,94.26,0.0,Active,0,1,0,83.7,10,,,1.0,1.2375,1.0,0.0,1
MOIL-06,Dongri Buzurg,Maharashtra,Bhandara,2015-01-01,2015,1,4805.1,4650.2,-154.9,96.78,8,8,0.7,41.6,0,9,9,0.0,0,60,4,239.2,8.0,37.92,7695.4,10.3,22.7,0.171,0.1,0.0,4.5,1.7,310,4650.2,4650.2,4805.1,0,154.9,3.22,0,3.74,101.5,0,4633.6,97.31,0.0,Active,0,1,0,81.6,9,,,1.0,0.0875,1.0,0.0,1
MOIL-07,Balaghat,Madhya Pradesh,Balaghat,2015-01-01,2015,1,21142.4,20883.7,-258.7,98.78,15,15,0.8,49.9,0,17,17,0.0,0,383,7,239.2,8.0,38.97,44644.3,12.7,22.6,0.158,2.1,1.4,2.5,0.3,740,20883.7,20883.7,21142.4,0,258.7,1.22,0,3.56,104.4,0,18104.5,96.98,0.0,Active,0,1,0,86.7,11,,,1.0,0.1,1.0,0.0,1
MOIL-08,Sitapatore,Madhya Pradesh,Balaghat,2015-01-01,2015,1,6727.1,6669.8,-57.3,99.15,9,9,5.9,37.5,1,7,7,0.0,0,55,4,239.2,8.0,36.46,13194.9,12.1,20.5,0.19,0.2,0.1,1.3,1.8,348,6669.8,6669.8,6727.1,0,57.3,0.85,0,3.27,86.8,0,6892.5,98.88,246.3,Active,0,1,0,82.7,11,,,1.0,0.7375,1.0,0.0,1
MOIL-09,Tirodi,Madhya Pradesh,Balaghat,2015-01-01,2015,1,9610.2,9738.3,128.1,101.33,10,10,0.7,46.3,0,7,7,0.0,0,65,5,239.2,8.0,35.49,18783.5,10.6,20.8,0.185,0.2,0.1,3.4,1.8,452,9738.3,9738.3,9610.2,1,0.0,0.0,0,4.84,95.1,0,9852.7,98.86,63.7,Active,0,1,0,82.4,11,,,1.0,0.0875,1.0,0.0,1
MOIL-10,Ukwa,Madhya Pradesh,Balaghat,2015-01-01,2015,1,11532.2,11034.4,-497.8,95.68,11,11,0.8,45.9,0,16,16,0.0,0,220,5,239.2,8.0,39.64,22209.6,12.5,21.4,0.164,2.1,0.8,3.2,0.5,492,11034.4,11034.4,11532.2,0,497.8,4.32,0,3.52,97.1,0,11254.3,100.08,261.7,Active,0,1,0,83.4,10,,,1.0,0.1,1.0,0.0,1
MOIL-03,Kandri,Maharashtra,Nagpur,2015-01-01,2015,1,9610.2,9330.2,-280.0,97.09,10,9,10.0,46.2,1,16,16,0.0,0,245,5,239.2,8.0,41.38,18966.4,14.8,21.3,0.175,2.3,1.0,4.5,0.3,450,9330.2,9330.2,9610.2,0,280.0,2.91,0,3.65,89.8,0,9384.2,102.12,40.2,Active,0,1,0,86.8,11,,,0.9,1.25,1.0,0.0,1
MOIL-04,Munsar,Maharashtra,Bhandara,2015-02-01,2015,2,8809.3,8542.9,-266.4,96.98,10,10,8.2,40.5,1,14,14,0.0,0,180,5,239.2,8.0,40.76,16962.2,17.8,23.9,0.19,2.1,0.9,1.9,0.7,417,8657.0,8600.0,8809.3,0,266.4,3.02,0,3.93,89.9,0,8183.3,102.32,0.0,Active,0,1,0,79.3,9,8657.0,8657.0,1.0,1.025,1.0,0.0,32
MOIL-02,Gumgaon,Maharashtra,Nagpur,2015-02-01,2015,2,7830.5,7343.0,-487.5,93.77,9,8,11.1,41.3,3,14,14,0.0,0,195,5,239.2,8.0,38.47,16925.0,21.7,25.0,0.227,2.3,0.9,3.3,0.8,377,7348.6,7345.8,7830.5,0,487.5,6.23,1,5.13,92.5,0,7093.7,103.4,0.0,Active,0,1,0,87.4,11,7348.6,7348.6,0.8888888888888888,1.3875,1.0,0.0,32
MOIL-01,Beldongri,Maharashtra,Nagpur,2015-02-01,2015,2,8809.3,8531.8,-277.5,96.85,10,9,10.7,42.9,2,14,14,0.0,0,210,5,239.2,8.0,40.4,15866.4,18.2,25.1,0.18,2.1,1.4,3.5,0.8,402,8652.2,8592.0,8809.3,0,277.5,3.15,0,5.57,98.3,0,8681.1,100.63,85.6,Active,0,1,0,88.0,10,8652.2,8652.2,0.9,1.3375,1.0,0.0,32
