mine_id,mine_name,state,district,date,year,month,planned_production_tonnes,actual_production_tonnes,production_variance_tonnes,production_achievement_pct,equipment_available_count,equipment_operating_count,equipment_downtime_hours,maintenance_hours,breakdown_count,planned_blasts,completed_blasts,blast_delay_hours,blast_delay_count,mine_depth_m,active_faces,working_hours,shift_hours,ore_grade_pct,ore_tonnage_available,rainfall_mm,temperature_c,soil_moisture,ventilation_delay_hours,ventilation_clearance_delay_hours,power_outage_hours,transport_delay_hours,manpower_available,production_lag_1d_tonnes,production_rolling_7d_mean_tonnes,production_target_tonnes,target_achieved,shortfall_tonnes,shortfall_pct,shortfall_flag,absenteeism_pct,overtime_hours,labor_strike_flag,steel_plant_demand_tonnes,manganese_price_index,order_backlog_tonnes,forest_clearance_status,pollution_shutdown_flag,mining_permission_active,is_monsoon_season_flag,road_condition_index,rake_availability_count
MOIL-01,Beldongri,Maharashtra,Nagpur,2015-01-01,2015,1,8649.2,8652.2,3.0,100.04,10,10,8.9,42.6,1,13,13,0.0,0,210,5,239.2,8.0,36.51,15368.8,11.9,21.4,0.189,2.1,0.9,4.2,0.5,426,8652.2,8652.2,8649.2,1,0.0,0.0,0,4.19,95.4,0,7527.6,101.6,0.0,Active,0,1,0,81.7,9
MOIL-01,Beldongri,Maharashtra,Nagpur,2015-02-01,2015,2,8809.3,8531.8,-277.5,96.85,10,9,10.7,42.9,2,14,14,0.0,0,210,5,239.2,8.0,40.4,15866.4,18.2,25.1,0.18,2.1,1.4,3.5,0.8,402,8652.2,8592.0,8809.3,0,277.5,3.15,0,5.57,98.3,0,8681.1,100.63,85.6,Active,0,1,0,88.0,10
MOIL-01,Beldongri,Maharashtra,Nagpur,2015-03-01,2015,3,8809.3,8594.8,-214.5,97.56,10,10,1.0,39.9,0,16,16,0.0,0,210,5,239.2,8.0,40.69,16356.5,15.7,30.2,0.169,2.2,0.8,2.3,0.3,428,8531.8,8592.9,8809.3,0,214.5,2.43,0,5.27,94.9,0,9000.5,99.73,404.7,Active,0,1,0,80.2,10
MOIL-01,Beldongri,Maharashtra,Nagpur,2015-04-01,2015,4,8408.9,8338.6,-70.3,99.16,10,9,0.5,50.6,0,13,13,0.0,0,210,5,240.0,8.0,37.84,16190.9,7.2,32.8,0.164,2.1,1.3,1.2,0.2,422,8594.8,8488.4,8408.9,0,70.3,0.84,0,5.1,111.0,0,7231.5,97.44,0.0,Active,0,1,0,88.4,10
MOIL-01,Beldongri,Maharashtra,Nagpur,2015-05-01,2015,5,8008.5,7649.5,-359.0,95.52,10,10,10.4,45.0,2,14,14,0.0,0,210,5,239.2,8.0,41.42,13723.2,16.4,37.6,0.198,2.3,1.5,5.0,0.3,415,8338.6,8194.3,8008.5,0,359.0,4.48,0,4.46,98.1,0,6753.8,101.66,0.0,Active,0,1,0,80.0,11
MOIL-01,Beldongri,Maharashtra,Nagpur,2015-06-01,2015,6,6807.2,6036.8,-770.4,88.68,10,9,36.5,51.0,3,14,11,9.2,3,210,4,230.4,8.0,38.21,13652.1,176.7,31.7,0.55,4.2,1.6,7.6,3.2,399,7649.5,7341.6,6807.2,0,770.4,11.32,1,8.14,77.1,0,5860.0,102.39,0.0,Active,0,1,1,58.0,9
MOIL-01,Beldongri,Maharashtra,Nagpur,2015-07-01,2015,7,6006.4,5371.4,-635.0,89.43,10,8,41.4,41.5,3,16,16,0.0,0,210,4,227.2,8.0,39.11,11358.9,245.9,27.3,0.55,4.8,3.3,7.4,4.0,425,6036.8,6352.6,6006.4,0,635.0,10.57,1,7.98,59.2,0,5509.9,94.37,162.9,Active,0,1,1,48.2,8
MOIL-01,Beldongri,Maharashtra,Nagpur,2015-08-01,2015,8,6246.6,5657.6,-589.0,90.57,10,8,19.2,49.6,1,14,13,5.5,1,210,4,228.8,8.0,40.98,10688.4,216.2,27.1,0.55,4.1,2.1,5.8,4.8,405,5371.4,5688.6,6246.6,0,589.0,9.43,1,6.84,66.5,0,5558.6,100.56,0.0,Active,0,1,1,57.0,7
MOIL-01,Beldongri,Maharashtra,Nagpur,2015-09-01,2015,9,7047.5,6523.3,-524.2,92.56,10,8,18.7,42.5,1,16,15,4.8,1,210,4,230.4,8.0,37.74,15378.7,174.1,27.8,0.55,2.8,1.9,8.3,7.5,415,5657.6,5850.8,7047.5,0,524.2,7.44,1,8.0,76.3,0,6258.3,100.77,0.0,Active,0,1,1,63.4,8
MOIL-01,Beldongri,Maharashtra,Nagpur,2015-10-01,2015,10,8168.6,7971.3,-197.3,97.58,10,9,3.0,48.7,0,13,13,0.0,0,210,5,237.6,8.0,37.48,15299.5,45.0,27.9,0.251,2.8,1.0,5.5,0.7,416,6523.3,6717.4,8168.6,0,197.3,2.42,0,5.88,88.3,0,7657.6,102.0,0.0,Active,0,1,0,82.4,10
MOIL-01,Beldongri,Maharashtra,Nagpur,2015-11-01,2015,11,8809.3,8381.2,-428.1,95.14,10,10,14.7,40.6,2,12,12,0.0,0,210,5,239.2,8.0,39.2,16172.8,13.7,23.8,0.177,2.1,0.7,1.9,0.3,418,7971.3,7625.3,8809.3,0,428.1,4.86,0,4.82,88.9,0,8283.3,99.83,0.0,Active,0,1,0,80.9,10
MOIL-01,Beldongri,Maharashtra,Nagpur,2015-12-01,2015,12,8729.2,8468.3,-260.9,97.01,10,9,0.3,50.5,0,15,15,0.0,0,210,5,240.0,8.0,38.83,14160.3,5.1,21.3,0.155,2.1,1.2,3.4,0.2,424,8381.2,8273.6,8729.2,0,260.9,2.99,0,4.26,85.0,0,7584.9,98.02,0.0,Active,0,1,0,78.6,11
MOIL-01,Beldongri,Maharashtra,Nagpur,2016-01-01,2016,1,8931.9,8971.9,40.0,100.45,10,9,0.7,43.6,0,12,12,0.0,0,210,5,239.2,8.0,39.18,18430.4,10.9,21.4,0.188,2.1,1.1,3.6,0.2,420,8468.3,8607.1,8931.9,1,0.0,0.0,0,3.46,107.5,0,7929.7,106.83,0.0,Active,0,1,0,77.4,10
MOIL-01,Beldongri,Maharashtra,Nagpur,2016-02-01,2016,2,9097.3,8850.3,-247.0,97.29,10,9,18.5,41.4,3,13,13,0.0,0,210,5,239.2,8.0,38.55,16959.5,18.2,23.8,0.195,2.3,0.7,2.7,0.7,426,8971.9,8763.5,9097.3,0,247.0,2.72,0,4.3,103.8,0,8126.5,104.51,0.0,Active,0,1,0,82.1,11
MOIL-01,Beldongri,Maharashtra,Nagpur,2016-03-01,2016,3,9097.3,9026.5,-70.8,99.22,10,10,7.6,44.3,2,14,14,0.0,0,210,5,239.2,8.0,37.53,17157.1,13.2,30.6,0.178,2.2,0.8,2.7,0.5,422,8850.3,8949.6,9097.3,0,70.8,0.78,0,4.82,105.1,0,8766.2,105.25,0.0,Active,0,1,0,84.9,11
MOIL-01,Beldongri,Maharashtra,Nagpur,2016-04-01,2016,4,8683.7,8524.2,-159.5,98.16,10,10,8.9,51.1,1,12,12,0.0,0,210,5,239.2,8.0,38.29,14725.7,8.1,34.4,0.17,2.1,1.4,4.1,0.2,413,9026.5,8800.3,8683.7,0,159.5,1.84,0,4.88,97.9,0,7347.7,106.73,0.0,Active,0,1,0,82.5,10
MOIL-01,Beldongri,Maharashtra,Nagpur,2016-05-01,2016,5,8270.2,7652.2,-618.0,92.53,10,9,12.9,46.1,3,13,13,0.0,0,210,5,239.2,8.0,38.54,16506.9,16.5,38.5,0.173,2.2,0.9,5.2,0.3,412,8524.2,8401.0,8270.2,0,618.0,7.47,1,4.82,103.8,0,7295.1,104.72,0.0,Active,0,1,0,86.5,11
MOIL-01,Beldongri,Maharashtra,Nagpur,2016-06-01,2016,6,7029.7,6304.5,-725.2,89.68,10,9,38.7,41.1,5,14,12,4.4,2,210,4,231.2,8.0,38.12,13114.5,168.0,32.3,0.55,3.3,1.3,6.8,3.4,408,7652.2,7493.6,7029.7,0,725.2,10.32,1,6.78,70.3,0,6685.4,101.25,448.6,Active,0,1,1,59.8,8
MOIL-01,Beldongri,Maharashtra,Nagpur,2016-07-01,2016,7,6202.7,5491.0,-711.7,88.53,10,8,28.7,47.3,1,14,12,9.9,2,210,3,224.0,8.0,38.58,11733.4,311.9,28.0,0.55,3.3,1.1,9.0,7.2,406,6304.5,6482.6,6202.7,0,711.7,11.47,1,8.84,59.8,0,5520.2,108.44,29.4,Active,0,1,1,47.9,7
MOIL-01,Beldongri,Maharashtra,Nagpur,2016-08-01,2016,8,6450.8,5975.5,-475.3,92.63,10,7,27.9,40.0,4,16,15,4.9,1,210,4,227.2,8.0,37.97,11751.6,235.9,27.2,0.55,4.5,1.8,6.3,7.3,414,5491.0,5923.7,6450.8,0,475.3,7.37,1,7.81,46.3,0,6030.3,103.01,39.3,Active,0,1,1,52.6,6
